"Iron_effect_in_EXP_G_D.LogFC" "Iron_effect_in_EXP_G.LogFC" "Iron_effect_in_EXP_G_L.LogFC" "Iron_effect_in_EXP_L.LogFC" "Iron_effect_in_STAT_G_D.LogFC" "Iron_effect_in_STAT_G.LogFC" "Iron_effect_in_STAT_G_L.LogFC" "Iron_effect_in_STAT_L.LogFC" "Iron_effect_in_EXP_G_D.BH" "Iron_effect_in_EXP_G.BH" "Iron_effect_in_EXP_G_L.BH" "Iron_effect_in_EXP_L.BH" "Iron_effect_in_STAT_G_D.BH" "Iron_effect_in_STAT_G.BH" "Iron_effect_in_STAT_G_L.BH" "Iron_effect_in_STAT_L.BH"
"Rv0035" 0.000144731670740996 5.52940997953231e-05 0.000144714031859088 -0.000133793249073959 -0.0471843579209957 -0.286266748057631 0.0578255947322245 -0.0234245506119279 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.805856348451183 0.216036209586387 0.765489368419538 0.785936617141935
"Rv0036c" -0.00012109634422048 2.75786522681868e-05 -7.58691642665376e-05 -1.92494835832333e-05 -0.112335575863684 -0.268916058334355 -0.379521775057203 0.00115558003584533 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.320164698028245 0.0998003647354966 0.000345433478758403 0.99375102884922
"Rv0037c" 0.000133846465325258 -1.88130549889685e-05 8.27248379164245e-05 0.000478000049998324 0.225504494011615 -0.706907008900817 -0.339250953212793 -0.00613199413449799 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.115160107967518 1.16373077720963e-05 0.0148052129275822 0.973622367372375
"Rv0038" 0.000219828199147641 0.000225299315011626 0.000158248115878066 0.00135188016210909 0.274602549688255 0.354181342854691 -0.00286188579809474 -0.00781441124178202 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0210374810443949 0.0076596809686505 0.984981673652607 0.945661506140121
"Rv0039c" -0.00011553770857518 7.51924354982974e-05 -0.000642683782125154 -2.46691373977742e-05 -0.0280414289747899 0.313035544310781 0.409886978114432 0.00334180127158211 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.907113900356402 0.216036209586387 0.0540973314846495 0.993657187978439
"Rv0040c" -0.000431320539925977 -0.000242039256892547 -0.000147759920227298 -0.00291624357719586 -0.123892686922359 0.0331082530734309 0.58535223428246 -0.0293694145096747 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.47504494907181 0.893360753050493 0.000298104599067306 0.70752245833695
"Rv0041" -5.72703072365195e-06 -0.000235827573406073 0.000198426465179902 -0.000120351352364815 -0.00775185274017595 -0.176977812926737 -0.436522949860664 0.00133778057306455 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.955926572049988 0.209756760233127 9.32092676803439e-05 0.99375102884922
"Rv0042c" 3.32973452938089e-05 0.000160495885254823 0.00011882509185955 -4.87898840180257e-06 -0.149289328686289 -0.166269715913441 0.0528345538765419 0.0100465623057392 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.349260808743835 0.464222091488589 0.779467032178463 0.938121442814241
"Rv0043c" 9.63680477316871e-05 -0.000225631988397227 9.95156647333453e-05 -7.59667842820665e-05 -0.21315854703236 -0.379132537532652 0.162770368156325 -0.0202632713129767 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0817430532105264 0.0636139376576595 0.222194051414861 0.776944002985856
"Rv0044c" 0.000524839801408226 -2.29085758607497e-05 -9.07385785605196e-05 -0.000698835597178074 -0.209259054243212 -0.393879836241053 0.253946757490963 -0.0354668715840107 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.104554031223883 0.0650822443580882 0.0504648873398539 0.593065057933819
"Rv0045c" -0.000335326763923872 -6.5601500581693e-05 -6.87986572617212e-05 -0.000189992173403199 0.251172960398379 -0.350272311892617 0.717465502878713 -0.00188928847119692 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.139998115376941 0.0580512653710536 1.07427023004651e-05 0.99375102884922
"Rv0046c" -0.000482069498726598 -1.50309885794697e-05 -0.000103912138091205 -0.00119621081891438 0.396542009373167 0.176299851292193 0.677957965961438 0.00769303082292069 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0107191679182718 0.317005731425929 1.32708888384816e-05 0.964049559558542
"Rv0047c" -0.00022149707152357 -6.74401389922941e-05 -0.000299092198662999 -0.000763159595879762 0.24948321362154 -0.0918733944860655 0.544560506329768 3.36457290127258e-05 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.253197717046852 0.736397151169592 0.015630490514913 0.999854649905164
