"Iron_effect_in_EXP_G_D.BH" "Iron_effect_in_EXP_G.BH" "Iron_effect_in_EXP_G_L.BH" "Iron_effect_in_EXP_L.BH" "Iron_effect_in_STAT_G_D.BH" "Iron_effect_in_STAT_G.BH" "Iron_effect_in_STAT_G_L.BH" "Iron_effect_in_STAT_L.BH" "Phase_effects_with_Fe_G_D.BH" "Phase_effects_with_Fe_G.BH" "Phase_effects_with_Fe_G_L.BH" "Phase_effects_with_Fe_L.BH" "Phase_effects_without_Fe_G_D.BH" "Phase_effects_without_Fe_G.BH" "Phase_effects_without_Fe_G_L.BH" "Phase_effects_without_Fe_L.BH" "Effect_of_Fe_in_response_to_Growth_arrest_G_D.BH" "Effect_of_Fe_in_response_to_Growth_arrest_G.BH" "Effect_of_Fe_in_response_to_Growth_arrest_G_L.BH" "Effect_of_Fe_in_response_to_Growth_arrest_L.BH"
"Rv0037c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.115160107967518 1.16373077720963e-05 0.0148052129275822 0.973622367372375 4.1729137112368e-06 8.70186334912197e-05 1.48190846623232e-08 2.89827556471872e-07 2.23973779689114e-09 0.262420600261767 0.00849170408030579 0.000195572561464822 0.493117441752837 0.00174047453316453 0.069729292791133 0.998498138481726
"Rv0038" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0210374810443949 0.0076596809686505 0.984981673652607 0.945661506140121 0.115722977533227 2.00673362864451e-09 2.62832917865471e-27 0.349491135358225 0.00036148173986454 1.15462025320191e-17 1.43466017098773e-24 0.214403024165764 0.293867807536178 0.15931710278922 0.761081061712728 0.78269184071647
"Rv0039c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.907113900356402 0.216036209586387 0.0540973314846495 0.993657187978439 0.541263724597495 0.582250424546352 0.00555423272087966 2.49722238086071e-05 0.27468066673293 0.0547891222745851 0.599828009206826 7.74325324549957e-05 0.832430313190881 0.494390915450571 0.0368191756414633 0.998498138481726
"Rv0040c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.47504494907181 0.893360753050493 0.000298104599067306 0.70752245833695 1.73093233496087e-09 2.32831519721308e-16 1.0138033074319e-57 1.18945100076872e-07 2.36608759830662e-07 3.69728438254464e-12 1.47558151199604e-31 9.26877921135816e-07 0.707374303939526 0.657113546249908 0.00444384095533356 0.998498138481726
"Rv0041" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.955926572049988 0.209756760233127 9.32092676803439e-05 0.99375102884922 0.0274718804184805 0.0261057612409 1.51117546833961e-07 0.452915348204611 0.0317412360049934 0.00137642135632041 2.94317118920236e-24 0.232491402942906 0.976761783960444 0.612102374832899 0.00166070690981114 0.998498138481726
"Rv0042c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.349260808743835 0.464222091488589 0.779467032178463 0.938121442814241 2.9189898466839e-13 7.74968536406366e-16 2.48332869281822e-43 2.17239768864259e-08 3.69162926043204e-17 2.94910819422774e-18 1.19086518508259e-43 1.27263015570842e-06 0.516763165311112 0.440230771719293 0.98531408102089 0.998498138481726
"Rv0043c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0817430532105264 0.0636139376576595 0.222194051414861 0.776944002985856 0.661335075477563 1.74909246773536e-05 2.12701547920421e-10 0.0161650129282196 0.00722872414148132 1.62008605595278e-08 1.93620381643086e-07 0.218815821995417 0.200716224443327 0.199433325602389 0.520843229790878 0.998498138481726
"Rv0044c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.104554031223883 0.0650822443580882 0.0504648873398539 0.593065057933819 0.000306684582861787 9.25766498475722e-08 0.0016996190732921 0.606094240722966 2.75203751257012e-11 1.50197702293354e-11 0.589770983536387 0.957013621687129 0.0538250108640462 0.128633992849467 0.115790566152605 0.998498138481726
"Rv0045c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.139998115376941 0.0580512653710536 1.07427023004651e-05 0.99375102884922 0.0787677917107231 3.80525699723109e-24 6.03994624764792e-05 8.82110997602459e-11 0.197890300135151 5.56219424351868e-15 1.85070389208523e-19 1.97221757317898e-11 0.0677739729982256 0.27441490426006 0.00171208141720691 0.998498138481726
"Rv0046c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0107191679182718 0.317005731425929 1.32708888384816e-05 0.964049559558542 1.13706936414129e-08 1.44530672361906e-69 9.59770947024537e-33 1.56363663246145e-58 2.11365548394561e-26 1.95744605957331e-80 1.00757972251447e-64 4.05066536751972e-73 0.00330188745961963 0.52213069064935 0.00145211097953015 0.883296835611065
"Rv0047c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.253197717046852 0.736397151169592 0.015630490514913 0.999854649905164 0.00079311431672867 2.5337583931158e-34 5.21707424242008e-11 9.4320844140804e-05 0.558171926144324 3.26286684613502e-33 1.5961078929083e-23 2.18585558247143e-06 0.114232665875506 0.932307936488252 0.0388444967407968 0.998498138481726
"Rv0048c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0109478627606491 0.0260317881985251 3.9888745541011e-05 0.673140857599489 1.61462596510685e-13 5.06463392673523e-92 5.28676699559751e-50 1.00441491127927e-21 3.40567159706616e-26 4.90993253021929e-118 1.80708134207046e-79 4.34587755526321e-16 0.0658596093414579 0.116867577572014 0.0163997144783456 0.998498138481726
"Rv0049" 0.999652421664065 0.99978373860597 0.639467771678034 0.998493520944799 0.00354446683439931 1.1996342543472e-13 0.22783264337994 0.736020399791069 0.0983724598887269 0.287527068297038 0.000424124669152669 0.0370624636221057 3.45340868737273e-09 1.09160376356185e-16 3.58491480434051e-15 0.631155649399538 0.0110738693091814 6.23963439427353e-10 0.00688462453069105 0.642789364861846
"Rv0050" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.87646036645624 1.05008242670281e-07 0.468182649824343 0.531807722919922 0.000409358863971447 1.85074447323083e-23 0.0454479020646439 0.268543714188132 0.00035046840596915 0.0135641920531667 0.126975086815916 0.071599871898396 0.989176668142755 1.12721621435268e-06 0.805776621056955 0.998498138481726
"Rv0051" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0743163413690721 0.00696635999331501 0.589369538524583 0.867348825976212 1.26303081973045e-31 1.10731006446236e-48 1.27408066894001e-22 9.93943251331996e-20 5.78130742039705e-45 1.27785135936659e-25 1.31401444827186e-25 3.53094725765182e-21 0.113235435116867 0.0172592754349076 0.71894989985307 0.998498138481726
"Rv0052" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.646379303565699 0.0393294156318659 0.684979061359953 0.788609139005595 7.52625549738598e-10 2.65434143028933e-14 4.64970151829577e-19 7.51432865365354e-05 2.2314459585226e-07 1.23816433438731e-07 5.07948711667523e-23 1.56485414109792e-07 0.737616108415355 0.205522711948149 0.57530285603786 0.998498138481726
"Rv0053" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.226764921660476 0.00754020685912121 0.784591370247099 0.771123287708439 1.0356560148316e-25 1.88187815706705e-11 9.07086173141378e-08 5.98508110326354e-58 1.97712454338015e-18 7.8134591086054e-05 4.20869988246318e-07 6.77959939952368e-51 0.389041769374175 0.180449275341283 0.884217147834977 0.998498138481726
