"G_D_with" "G_with" "G_L_with" "L_with" "G_D_without" "G_without" "G_L_without" "L_without" "G_D_with.BH" "G_with.BH" "G_L_with.BH" "L_with.BH" "G_D_without.BH" "G_without.BH" "G_L_without.BH" "L_without.BH"
"Rv0068" 0.285231871919813 -0.128825977652075 0.0600098136045379 -0.163204047537344 0.461492387200947 -0.45645409891029 0.00309808354180632 -0.0660030500630527 0.0475806289690276 0.544075848867781 0.714124718629478 0.296421187201375 0.00196398868583761 0.0679883691513508 0.985679437046035 0.681776277955587
"Rv0069c" 0.484711154421581 -0.461513463253699 0.198365830358446 0.57818418146024 0.504489460524485 -0.834404976225257 0.211792650816183 0.674814354619085 1.34114368368668e-06 0.000191909325205067 0.0472051475030701 2.965498630933e-08 8.59287495048072e-07 3.94265378275345e-09 0.033516053548369 1.42368006995812e-10
"Rv0070c" 0.745420538448831 -0.0320255812031722 0.58746772213331 1.41419423290975 0.476977851858845 -0.446228024007375 0.351380771700807 1.45458285145215 1.81394958607274e-12 0.813988319930924 1.10897661534662e-08 7.42186663157714e-40 1.79184366905275e-05 0.00249518433116224 0.000757397070924628 1.20465674470451e-41
"Rv0071" -0.22469457128726 -0.166048314770616 0.502177751351624 0.666055421852701 -0.0456171276649631 0.50849305597881 0.593944493576529 0.573404075008458 0.105623436116421 0.507547853696472 0.000940338232410975 4.26805408356461e-05 0.762202571576552 0.0258491340812968 8.45057139571104e-05 0.000705486817498415
"Rv0072" -0.881665452806166 -0.96095360000564 -1.42355751676777 -0.746654179243535 -1.09332511467738 -1.64729836906777 -1.84320267700285 -0.606450121754617 5.70139208399217e-13 2.39521914757271e-13 6.27737825187964e-30 1.76575334440363e-09 6.78910407622138e-19 2.51841286794466e-31 2.6045831221775e-48 1.08066334232058e-06
"Rv0073" -1.43948079018404 -1.75227211219523 -1.643550334323 -1.10770301704901 -1.86990825715721 -2.42668465902187 -2.21550971199746 -1.01703664331527 1.24086351571924e-51 2.35716827032568e-52 2.30767965219781e-58 1.61250217173816e-29 6.47704688571e-81 8.25821591212679e-69 1.65470553555681e-97 2.90102444156328e-25
"Rv0074" -1.65064538160777 -2.19989684786072 -2.02480352011372 -1.2909108391139 -2.06321443800359 -2.88811032562053 -2.36074458947479 -1.28883100873756 5.95004737594465e-30 2.13786006730691e-39 4.38918117748679e-41 2.62754911509158e-18 2.46946215189447e-44 1.75584669311556e-49 5.61044980059451e-54 2.62175235914905e-18
"Rv0075" -1.34647619136616 -1.47958960432335 -1.07382704524097 -0.602430631493415 -1.43892026669901 -1.93227555138997 -1.37464158940595 -0.555874701034959 1.48822221720701e-38 2.74873152917217e-30 6.77918686715101e-23 1.58895877121957e-08 5.23724325038916e-42 3.69176627295945e-38 4.34052348112954e-36 2.02633558986963e-07
"Rv0076c" -0.295495707272191 -0.397027838751537 0.444701454083451 0.742950357121473 -0.621897233435397 -1.30430777784042 0.0109836189520636 0.335972010864234 0.0314582451031264 0.0546495994383265 0.00126550182257882 4.86078911308959e-08 2.3915243648082e-05 3.69874223424828e-06 0.943462788963974 0.0183313078190112
"Rv0077c" 1.05467359323672 0.927834724062758 0.89916059228066 1.59542790342133 1.57003010498274 0.554814201515671 0.913915958821583 1.07509910348757 4.90622863240057e-11 8.55673846265945e-06 9.49535041628946e-08 7.51413089644378e-22 1.2122146099412e-21 0.0255057365494773 6.00660824488514e-08 3.70673134285473e-10
